銘柄コード
市場コード
銘柄名称
市場名称
市場部名称
市場部略称
現在日付
現在値
前日比
前日比率
前日終値
前日日付
出来高
売買代金
出来高加重平均
始値
高値
安値
始値時刻
高値時刻
安値時刻
前場出来高
信用貸借区分
逆日歩
逆日歩更新日付
信用売残
信用売残前週比
信用買残
信用買残前週比
信用倍率
証金コード
証金残更新日付
新規貸株
新規融資
返済貸株
返済融資
残高貸株
残高融資
残高差引
前日比貸株
前日比融資
前日比差引
回転日数
貸借倍率
単位株数
配当
配当落日
権利落日
ＰＥＲ
ＰＢＲ
年初来高値
年初来安値
年初来高値日付
年初来安値日付
上場来高値
上場来安値
上場来高値日付
上場来安値日付
